Estado,OSIG,ingreso_laboral,consumo,n_personas,ISR,IVA,Total aportacion,factor_ing_lab,factor_consumo,factor_ISR,factor_IVA,factor_aportacion_total
Guerrero,Lesbiana,65067.9838,155742.90399999998,27780.0,5430.991413000001,2943.380275,8374.371799999999,151249989.5195,444557870.9701,11589260.864413,6166535.66014,17755796.71603
Guerrero,Normativo,5567172.1487,15600019.3531,2326342.0,388715.0896407,316848.833679,705563.92258,10695652829.30872,32446688543.5641,743745256.9241964,517113637.926357,1260858893.916575
Guerrero,T+,83551.51849999999,190469.3325,29671.0,3915.4207650000003,4456.91907,8372.340036,132659237.90890001,323193621.8895,5826043.283574,5984744.817046,11810788.363762
Guerrero,bisexual,125240.95407,537390.4501,76304.0,7145.618783,7780.671882,14926.290748,250458151.0647,1179731189.1116,13666774.780935,14163516.960705,27830291.921586
Guerrero,gay,101146.3635,258457.15899999999,34112.0,9221.025603,4793.476173,14014.50197,194867015.7379,543588587.8638,17684122.964857,8717625.804688001,26401749.29306
Guerrero,otro,30598.236810000002,94785.3124,18155.0,2772.48854,1356.314529,4128.803119,91830703.35081,282783660.24799997,7904927.58759,3601286.527439,11506214.184989
Hidalgo,Lesbiana,26941.7073,80566.6457,11303.0,1608.154029,1708.7470050000002,3316.9010000000003,43645263.9742,149995109.4003,2459899.6115619997,2592758.84494,5052658.42272
Hidalgo,Normativo,7042981.50373,20184867.0836,2257753.0,547183.1514274,401311.783113,948494.9345420001,12218759292.15164,37544411064.6476,934842863.8064839,606258585.755268,1541101449.320545
Hidalgo,T+,35813.0057,117147.303,15412.0,1731.1713100000002,1355.47227,3086.64359,79164583.80059999,261215206.848,3973033.1856000004,2813274.52825,6786307.75966
Hidalgo,bisexual,117131.91413,516692.69,53785.0,6207.69567,7169.058338,13376.754057,177500495.54306,1043243780.676,8649209.395753,10979369.540112,19628579.124288
Hidalgo,gay,124714.8759,251003.923,22514.0,12592.304509,6354.295224,18946.59953,169958821.293,380641234.305,15853193.083766,7571271.070712,23424463.97234
Hidalgo,otro,27346.66661,91920.884,7756.0,1120.7284869999999,1531.28764,2652.01613,34371963.044300005,139328310.04500002,1558804.55373,2016771.22432,3575575.77117
Jalisco,Lesbiana,62296.269199999995,160242.639,36902.0,6074.91358,3662.05157,9736.9652,275966095.45519996,913413044.792,26648359.72242,15476119.91183,42124479.75634
Jalisco,Normativo,9294624.4088,23527402.3642,5988931.0,807777.319484,511039.394589,1318816.714444,41345381932.59031,113386360640.883,3541193598.920174,1980828812.960505,5522022409.664252
Jalisco,T+,77433.648,308832.75800000003,83788.0,5711.555072,3877.566327,9589.12134,432174470.01180005,1882413853.534,28703060.210268,20009467.616457,48712527.59114
Jalisco,bisexual,104691.36318,470368.763,117883.0,6597.684689,6631.361123,13229.045763,464380378.79473,2505521128.868,21471201.214598,27310728.084926,48781928.822906
Jalisco,gay,77949.6103,153434.38199999998,40117.0,7912.644125000001,4012.5773599999998,11925.22127,343940080.43590003,753348099.7349999,33603079.24084,14241570.898370001,47844649.12083
Jalisco,otro,52821.4959,109386.621,19580.0,3769.34993,2651.7436399999997,6421.09357,198897241.2005,596854496.7969999,11456848.17095,9290952.93722,20747801.108170003
Michoacán de Ocampo,Lesbiana,13070.5472,29732.6449,6074.0,433.09139,893.2075580000001,1326.29895,21347813.7131,60907317.34020001,993308.70003,1354537.8858720001,2347846.59278
Michoacán de Ocampo,Normativo,8728387.46939,23471004.3034,3461698.0,720706.372634,505466.925053,1226173.297258,20366934090.1549,58284830768.6726,1642748931.149138,1001350375.316757,2644099305.563982
Michoacán de Ocampo,T+,50170.810399999995,135288.927,18803.0,4463.643591,3129.949873,7593.59345,85321602.0994,337868064.203,6379770.260961,4831707.990261,11211478.21059
Michoacán de Ocampo,bisexual,90810.71301,279796.413,51170.0,6826.019781,3983.707249,10809.727014,226143117.50803,837521049.0722001,15617266.053087,10125369.165235,25742635.236341998
Michoacán de Ocampo,gay,94278.60575999999,223723.6851,43456.0,8856.289139,4476.860473,13333.149663,275926501.54806,865802328.1692,22583878.024532,11503110.719884,34086988.650593996
Michoacán de Ocampo,otro,10650.6445,53549.623,14166.0,779.5221290000001,435.44138999999996,1214.96353,56169892.369,259573725.68199998,4213083.551314,2120315.6988199996,6333399.341019999
Morelos,Lesbiana,24011.1958,42022.042,2662.0,3794.8452399999996,1719.0273,5513.87254,18896696.1054,47823071.56200001,2292978.32052,1387565.5289,3680543.84942
Morelos,Normativo,6548456.50082,18379915.7587,1450134.0,509391.2697509,400099.394266,909490.6624,8172136728.29112,24912584074.3563,636792893.554087,428889978.854021,1065682868.883128
Morelos,T+,72061.38554,206426.8716,25286.0,6210.3956132,3560.12765,9770.52328,122111704.18862,447175624.3658,11114361.402505599,4573637.27401,15687998.78427
Morelos,bisexual,213180.61906,805018.1966,58889.0,16649.549402,12765.448523,29414.997978,262968601.02128,1146060201.4962,17036956.41054,15050705.476789,32087661.840007
Morelos,gay,84858.82981,312983.169,22589.0,6972.553316,4642.15748,11614.71073,159009714.75102,587119715.992,15350028.47596,7327508.7432,22677536.829060003
Morelos,otro,25723.4154,47300.299,3249.0,1656.3449400000002,1761.65332,3417.99833,25487379.1798,52363985.545,2000971.46192,1689532.2555999998,3690503.81196
México,Lesbiana,29607.2296,93306.3367,46581.0,1751.685819,2261.08287,4012.76863,169384996.0183,654767590.9886,9280085.270709,13640252.14681,22920337.07829
México,Normativo,8200381.33677,22932932.8027,12729557.0,635643.8753641,437152.811865,1072796.68842,73314966779.99792,226997972358.2213,5618848711.196326,3473977844.307201,9092826555.104753
México,T+,42390.10161,150687.57390000002,98127.0,2912.1957620000003,2640.17823,5552.373986,357281354.09556,1462585629.0836,21696255.201977998,19010477.63923,40706733.067926
México,bisexual,106309.31064,390456.6824,218799.0,8374.739129,5172.295027,13547.034161,963538343.52368,4207871640.3064003,77519800.391646,45314651.427468,122834451.56770599
México,gay,68404.6131,119580.2903,62528.0,6453.71595,3083.0878199999997,9536.80381,498890428.0961,988497203.1913,42543900.193739995,19077130.32097,61621030.77662
México,otro,18938.6347,102524.1915,63559.0,1586.17958,1444.103063,3030.282693,116466924.596,968885232.9025,5421670.94436,8988938.384155,14410609.578274999
Nayarit,Lesbiana,83650.8248,139442.8772,2341.0,10747.41159,4499.39027,15246.80222,34785792.2926,59221415.0286,4714459.11744,1815676.1141,6530135.40046
Nayarit,Normativo,9643170.64468,24134183.0182,882576.0,843491.234817,551618.336174,1395109.572529,5754233620.46931,15560860756.6525,488923744.31512797,285599189.223983,774522934.310631
Nayarit,T+,108373.89438,284071.1787,9313.0,10859.557887,7204.416548,18063.974509,52751565.14384,169380812.8036,4755326.252061,3384882.890664,8140209.172107
Nayarit,bisexual,195126.3353,567757.049,22468.0,14265.482868000001,11838.84486,26104.32748,124155375.9614,475092666.021,7815842.937461,6429652.73695,14245495.52544
Nayarit,gay,133071.55794,313082.429,8852.0,12443.157848,9874.605277,22317.76313,61416209.07278,172493726.899,4606542.024746,3319986.062434,7926528.09303
Nayarit,otro,455.86063,17076.17,826.0,8.9238625,107.7558,116.67966,376540.88038,14104916.419999998,7371.110425,89006.29079999999,96377.39916
Nuevo León,Lesbiana,50377.4789,95278.255,13002.0,5850.30955,2739.30573,8589.61541,95402538.0991,196343290.333,9289809.11439,4996920.69786,14286730.102160001
Nuevo León,Normativo,10173066.24715,24871450.8714,4369860.0,867877.678538,507647.376219,1375525.056419,35219382955.04598,93422553555.9342,3007897810.329081,1524087503.641203,4531985319.768272
Nuevo León,T+,96062.18389,222918.722,40179.0,3598.829278,4340.793677,7939.623037,239201627.05989,665784004.365,8896606.510938,9945341.069968,18841947.819198
Nuevo León,bisexual,210234.80617,681269.0727,148462.0,13260.90782,12573.917381,25834.825251000002,726226309.23155,3042415273.4667,36477830.590192,37691221.406249,74169051.853209
Nuevo León,gay,214416.53402,449152.31799999997,67442.0,26203.369191,11856.421218,38059.790348,564818097.24364,1627680387.644,54841154.827487,25071139.776986,79912294.389096
Nuevo León,otro,48109.9491,106463.8223,17405.0,850.80463,2053.67507,2904.47968,116301373.38780001,274683944.7029,1971505.42147,4753248.26463,6724753.629439999
Oaxaca,Lesbiana,7892.3032,42059.154,7324.0,245.817706,718.4293700000001,964.24708,13703872.0056,74964730.8226,472346.77823,1255685.48649,1728032.26594
Oaxaca,Normativo,5926163.83778,16548597.0019,2851930.0,413211.5029107,339178.847132,752390.350753,12841774116.29084,39002904926.3442,860585124.3540223,630769845.493293,1491354971.931897
Oaxaca,T+,96419.32815,318504.1184,52984.0,8574.087352,4489.509625,13063.596953,183793518.70746002,746252228.1889,14542516.368655,8878000.89071,23420517.147966
Oaxaca,bisexual,143935.72216,509352.8435,83228.0,8626.4521219,6449.3613,15075.813685,305485122.17413,1243730549.7216,16938609.3532923,13206478.562066,30145088.382346
Oaxaca,gay,101841.94092,307079.8156,43521.0,4831.603214,5503.640212,10335.243512,204389261.74532,650365588.3174,9394468.403626,9968152.76647,19362621.25809
Oaxaca,otro,29861.074989999997,148750.5436,24490.0,1347.597678,1789.431395,3137.029058,67715930.71465999,393344943.88,2961810.229645,4436707.868582,7398518.08474
Puebla,Lesbiana,6612.335,11452.111,2325.0,0.0,395.30051,395.30051,15373678.875,26626158.075000003,0.0,919073.68575,919073.68575
Puebla,Normativo,6535689.06947,18621108.1065,4678997.0,505317.7189746,386308.16521,891625.884024,23818423573.49524,74452630542.1089,1813031442.0048852,1211872555.054111,3024903996.51575
Puebla,T+,50412.11451,179800.8505,46030.0,2236.664833,2559.585976,4796.2507860000005,203501475.70068997,758234539.8011,13306878.640506,10396383.47086,23703262.05759
Puebla,bisexual,83468.76549,437998.752,133360.0,4188.9123434,4925.452747,9114.36504,389549198.51492,2042580784.8574,18521944.6159118,19757236.746048,38279181.295815
Puebla,gay,99189.7899,296765.1066,77179.0,6126.805575,4176.438131,10303.243831,431913863.4998,1434780759.9214,25844250.434975,18120704.343417,43964955.450557
Puebla,otro,14324.2812,38709.0918,8184.0,913.9069400000001,879.86531,1793.77225,36495089.2532,113491902.5774,2270109.0636,1877871.7091200002,4147980.77272
Querétaro,Lesbiana,58875.91183,171430.5583,12523.0,5399.692139,3563.622644,8963.31478,54877262.24533,206488080.0083,3985009.378805,3439338.201204,7424347.583280001
Querétaro,Normativo,8004905.48007,22338582.0015,1711672.0,653401.8186714,466110.649367,1119512.469364,10643359234.77996,32278083037.8522,820971358.0157564,528836246.610002,1349807605.584466
Querétaro,T+,121619.82145999999,312683.9092,19036.0,10714.5134132,6374.082706,17088.595901,145682473.21258,429851310.4134,13114967.2083616,6766129.449948,19881096.440763
Querétaro,bisexual,318654.53264,1282088.5169,88694.0,21838.190654,20377.81698,42216.007618,388602678.43213,1967746740.6959,24288911.436236,23891555.330099,48180466.825778
Querétaro,gay,165343.01254,361778.7006,24246.0,19349.391493,9930.61317,29280.00452,188117965.03126,498942814.559,19554018.074552998,8704213.78397,28258232.04251
Querétaro,otro,14776.49983,95179.38829999999,9254.0,863.368225,1151.313507,2014.681781,16642380.19214,154779542.6835,642029.452052,1612196.123349,2254225.616515
Quintana Roo,Lesbiana,58988.04861,188818.97030000002,12004.0,5765.831802,4710.914196,10476.74598,44612687.26075,195066903.00849998,3625710.628862,3648853.7813999997,7274564.38831
Quintana Roo,Normativo,9107070.97353,21510690.7434,1351965.0,737832.8752428,518903.236851,1256736.109511,8605431396.11284,22978872786.6773,673304894.9389085,427622429.076649,1100927321.530481
Quintana Roo,T+,119361.7881,280379.7483,20815.0,9131.462275,4780.873071,13912.335579999999,135761597.3917,332090145.1977,10168148.251995,5030032.281099,15198180.89071
Quintana Roo,bisexual,245429.34078,664216.0087,39579.0,14213.81144,14271.300365,28485.111845,208052767.03898,642694152.0656,12744900.346392,11359123.837773,24104024.35882
Quintana Roo,gay,178911.7297,372246.9039,21494.0,14856.435033,10368.42271,25224.85803,178736480.7982,463719048.3192,17411237.555037,7861156.34592,25272394.29813
Quintana Roo,otro,28344.8975,68666.344,2742.0,2779.60489,934.7263399999999,3714.3311,24540704.5727,66779433.363,2301333.89735,861303.35886,3162637.1448
San Luis Potosí,Lesbiana,37144.2026,96677.929,10957.0,3919.84383,1772.0978539999999,5691.94179,62431295.139299996,182874159.349,6125653.2150799995,2865272.498806,8990925.89985
San Luis Potosí,Normativo,8100258.43087,21814594.4534,2012393.0,708016.7301132,440539.68208,1148556.413693,12213800184.58278,35639770825.4278,1045843551.2363362,570034410.223478,1615877963.690963
San Luis Potosí,T+,59187.4327,231712.0557,24555.0,3232.293483,3296.135859,6528.429191,78091302.2859,362121423.9473,3967565.388548,3843121.179612,7810686.434487
San Luis Potosí,bisexual,172923.00705000001,638498.955,56602.0,10265.252825399999,8928.401975,19193.654419,251414404.8821,1086735254.2942,14587506.7020058,12554582.362985,27142088.618558
San Luis Potosí,gay,187050.47589,362559.8595,31347.0,16640.2982,8723.244322,25363.542657,234279909.71861,494711224.79179996,17624390.259963,9287635.642774,26912025.859841
San Luis Potosí,otro,30177.5703,160811.641,13663.0,2074.246004,2027.2553580000001,4101.50134,45693900.0404,260035312.513,3006638.261117,3181399.79913,6188038.0849
Sinaloa,Lesbiana,26232.935,71957.24,5502.0,3359.3982109999997,1776.0079500000002,5135.40627,38244326.5942,145101494.804,3977690.0880170004,2265474.14815,6243164.33139
Sinaloa,Normativo,8737866.90326,23880871.753,2256255.0,676281.7095886,509425.969787,1185707.679265,14014990079.31518,41846955500.294,1070937994.7776163,710990016.397428,1781928010.224833
Sinaloa,T+,87366.88127,211656.355,23912.0,6996.75079,4805.283392,11802.033952,134731403.71879,384350614.552,7320345.75785,5549744.006134,12870089.442534
Sinaloa,bisexual,109598.85577,400372.078,37672.0,11849.440698,6817.616649,18667.05715,164114405.43377998,789118626.45,15506684.194488,10623740.464271,26130424.455475997
Sinaloa,gay,178696.01366,404871.644,42629.0,16615.713294,6922.234194,23537.947613,336909672.0938,895921890.034,28034078.204827998,11998802.994082,40032881.241905
Sinaloa,otro,31542.4724,125028.771,11923.0,2558.789123,1474.00844,4032.7974799999997,70370086.2399,266885935.353,5770092.385879001,2704010.33749,8474102.57151
Sonora,Lesbiana,33834.2574,102047.591,10791.0,1718.473325,1549.605617,3268.07893,49669520.8064,192021719.187,2596748.58511,2289095.386495,4885843.95612
Sonora,Normativo,10135824.9007,24403769.6147,2155442.0,835445.1569048,541444.124906,1376889.278935,15981363871.77056,42662375197.7286,1291452669.8183846,745489724.618135,2036942388.44244
Sonora,T+,96443.01596,374074.349,33355.0,6081.765449,6333.955102,12415.72056,111052116.64406,655204630.293,5437202.14353,7660320.12858,13097522.29059
Sonora,bisexual,210583.64773,621335.7811,56229.0,13446.994852,9990.107971,23437.102501999998,314749537.07774,1102887248.2967,19874291.583584,14300445.902626,34174737.099628
Sonora,gay,190203.0042,383848.754,34849.0,10319.79026,8382.43978,18702.22974,288592792.7527,657777913.9283,13782131.744029999,11092608.77709,24874740.06452
Sonora,otro,21853.5369,74324.7138,7156.0,2184.1496150000003,788.002056,2972.15173,56025131.3361,198495254.532,5502441.910015,2145546.3040299998,7647988.314549999
Tabasco,Lesbiana,49962.8954,140312.6023,9902.0,4374.5711,3610.990694,7985.561793999999,42054279.3576,174349506.9055,2253964.5728,2872749.194676,5126713.778216
Tabasco,Normativo,7880110.10404,20126312.8866,1689947.0,591180.4388808,445227.654567,1036408.092515,9123772995.93265,25876700948.8554,663714417.7484407,452505813.17503,1116220229.642878
Tabasco,T+,59207.27733,203967.0387,17875.0,3558.965929,3677.615076,7236.581026,73908594.64941001,243766696.1506,4490759.84092,3617004.528772,8107764.437102
Tabasco,bisexual,122477.93253,601675.0656,51779.0,6647.319455,8278.549354,14925.868857,150624531.06262,873532880.3047,7872939.496136,10001287.103552,17874226.689408
Tabasco,gay,81722.4941,202441.7616,22642.0,3475.5822510000003,3726.490289,7202.07253,97607590.649,304308564.698,3953798.355045,4148030.5582000003,8101828.8343899995
Tabasco,otro,40764.5225,126517.768,10395.0,4154.876537,2556.243004,6711.119549999999,45573575.1967,184534864.495,4277197.501525,2721668.326273,6998865.82034
Tamaulipas,Lesbiana,29860.2841,59385.7536,8783.0,1233.27655,1122.01865,2355.29522,52918005.85030001,104812374.5036,2486449.9677,1796009.57886,4282459.57359
Tamaulipas,Normativo,9235057.31129,21454909.46,2592759.0,806497.269394,476729.320295,1283226.589567,19040841229.97504,46658675301.0532,1636343903.26241,849576007.93557,2485919912.472185
